2122330T,Hank,Grub,,14/05/1986,harry0@gnal.com,A0,15000.00,35300,3300,2,1250.00,1250.00,250.00,0.00,4.98,2941.67,84.84,84.84
2125330G,Lola,Num,,15/03/1986,harry2@gnal.com,A0,80000.00,35300,3300,2,6666.67,2941.67,588.33,1436.67,1265.62,2941.67,748.95,748.95
2128330H,Mimi,Emm,,14/01/1986,harry2@gnal.com,A0,60000.00,35300,3300,2,5000.00,2941.67,588.33,783.33,161.29,2941.67,-1108.71,-1108.71
2131330K,Rollo,Man,,15/11/1985,harry2@gnal.com,A0,50000.00,35300,3300,2,4166.67,2941.67,588.33,456.67,123.79,2941.67,-1522.88,-1522.88
2134330B,Marian,Kelly,,16/09/1985,harry2@gnal.com,A0,55000.00,35300,3300,2,4583.33,2941.67,588.33,620.00,142.54,2941.67,-1315.79,-1315.79
2137330K,Xio,Ping,,16/09/1985,harry2@gnal.com,A0,35000.00,35300,3300,2,2916.67,2916.67,583.33,0.00,67.54,2941.67,580.73,580.73
2140330Y,Gulay,Bulay,,19/05/1985,harry2@gnal.com,A0,40000.00,35300,3300,2,3333.33,2941.67,588.33,130.00,86.29,2941.67,-1937.04,-1937.04
2143330D,Robert,Banks,,20/03/1985,harry2@gnal.com,A0,45000.00,35300,3300,2,3750.00,2941.67,588.33,293.33,105.04,2941.67,-1729.96,-1729.96
2146330J,Viera,Maronova,,19/01/1985,harry2@gnal.com,A0,30000.00,35300,3300,2,2500.00,2500.00,500.00,0.00,48.79,2941.67,453.65,453.65
2149330R,Sam,Smith,,20/11/1984,harry2@gnal.com,A0,62000.00,35300,3300,2,5166.67,2941.67,588.33,848.67,168.79,2941.67,-1025.88,-1025.88
