2122330T,Hank,Grub,,14/05/1986,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2125330G,Lola,Num,,15/03/1986,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2128330H,Mimi,Emm,,14/01/1986,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2131330K,Rollo,Man,,15/11/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2134330B,Marian,Kelly,,16/09/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2137330K,Xio,Ping,,16/09/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2140330Y,Gulay,Bulay,,19/05/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2143330D,Robert,Banks,,20/03/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2146330J,Viera,Maronova,,19/01/1985,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
2149330R,Sam,Smith,,20/11/19840,0,10/03/2003,0,0,0,0,0,0,0,0,0,0,0
