2122330T,Hank,Grub,,14/05/1986,harry0@gnal.com,A0,15000.00,35300,3300,2,11250.00,11250.00,2250.00,0.00,11791.58,14728.27,763.56,763.56
2125330G,Lola,Num,,15/03/1986,harry0@gnal.com,A0,80000.00,35300,3300,2,60000.03,26475.03,5294.97,12930.03,18094.78,19770.83,6740.55,6740.55
2128330H,Mimi,Emm,,14/01/1986,harry0@gnal.com,A0,60000.00,35300,3300,2,45000.00,26475.03,5294.97,7049.97,12573.13,15353.51,-9978.39,-9978.39
2131330K,Rollo,Man,,15/11/1985,harry0@gnal.com,A0,50000.00,35300,3300,2,37500.03,26475.03,5294.97,4110.03,12385.63,15203.51,-13705.92,-13705.92
2134330B,Marian,Kelly,,16/09/1985,harry0@gnal.com,A0,55000.00,35300,3300,2,41249.97,26475.03,5294.97,5580.00,12479.38,15278.51,-11842.16,-11842.16
2137330K,Xio,Ping,,16/09/1985,harry0@gnal.com,A0,35000.00,35300,3300,2,26250.03,26250.03,5249.97,0.00,12104.38,14978.51,5226.57,5226.57
2140330Y,Gulay,Bulay,,19/05/1985,harry0@gnal.com,A0,40000.00,35300,3300,2,29999.97,26475.03,5294.97,1170.00,12198.13,15053.51,-17433.40,-17433.40
2143330D,Robert,Banks,,20/03/1985,harry0@gnal.com,A0,45000.00,35300,3300,2,33750.00,26475.03,5294.97,2639.97,12291.88,15128.51,-15569.64,-15569.64
2146330J,Viera,Maronova,,19/01/1985,harry0@gnal.com,A0,30000.00,35300,3300,2,22500.00,22500.00,4500.00,0.00,12010.63,14903.51,4082.85,4082.85
2149330R,Sam,Smith,,20/11/1984,harry0@gnal.com,A0,62000.00,35300,3300,2,46500.03,26475.03,5294.97,7638.03,12610.63,15383.51,-9232.92,-9232.92
