2122330T,Hank,Grub,,14/05/1986,harry0@gnal.com,A0,15000.00,35300,3300,2,18750.00,18750.00,3750.00,0.00,20631.53,23568.22,1272.60,1272.60
2125330G,Lola,Num,,15/03/1986,harry0@gnal.com,A0,80000.00,35300,3300,2,100000.05,44125.05,8824.95,21550.05,30716.65,32392.70,11234.25,11234.25
2128330H,Mimi,Emm,,14/01/1986,harry0@gnal.com,A0,60000.00,35300,3300,2,75000.00,44125.05,8824.95,11749.95,21882.01,24662.39,-16630.65,-16630.65
2131330K,Rollo,Man,,15/11/1985,harry0@gnal.com,A0,50000.00,35300,3300,2,62500.05,44125.05,8824.95,6850.05,21582.01,24399.89,-22843.20,-22843.20
2134330B,Marian,Kelly,,16/09/1985,harry0@gnal.com,A0,55000.00,35300,3300,2,68749.95,44125.05,8824.95,9300.00,21732.01,24531.14,-19736.92,-19736.92
2137330K,Xio,Ping,,16/09/1985,harry0@gnal.com,A0,35000.00,35300,3300,2,43750.05,43750.05,8749.95,0.00,21132.01,24006.14,8710.95,8710.95
2140330Y,Gulay,Bulay,,19/05/1985,harry0@gnal.com,A0,40000.00,35300,3300,2,49999.95,44125.05,8824.95,1950.00,21282.01,24137.39,-29055.64,-29055.64
2143330D,Robert,Banks,,20/03/1985,harry0@gnal.com,A0,45000.00,35300,3300,2,56250.00,44125.05,8824.95,4399.95,21432.01,24268.64,-25949.40,-25949.40
2146330J,Viera,Maronova,,19/01/1985,harry0@gnal.com,A0,30000.00,35300,3300,2,37500.00,37500.00,7500.00,0.00,20982.01,23874.89,6804.75,6804.75
2149330R,Sam,Smith,,20/11/1984,harry0@gnal.com,A0,62000.00,35300,3300,2,77500.05,44125.05,8824.95,12730.05,21942.01,24714.89,-15388.20,-15388.20
